Province/State,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20,05/05/20,05/06/20,05/07/20,05/08/20,05/09/20,05/10/20,05/11/20,05/12/20,05/13/20,05/14/20,05/15/20,05/16/20,05/17/20,05/18/20,05/19/20,05/20/20,05/21/20,05/22/20,05/23/20,05/24/20,05/25/20,05/26/20,05/27/20,05/28/20,05/29/20,05/30/20,05/31/20,06/01/20,06/02/20,06/03/20,06/04/20,06/05/20,06/06/20,06/07/20,06/08/20,06/09/20,06/10/20,06/11/20,06/12/20,06/13/20,06/14/20,06/15/20,06/16/20,06/17/20,06/18/20,06/19/20,06/20/20,06/21/20,06/22/20,06/23/20,06/24/20,06/25/20,06/26/20,06/27/20,06/28/20,06/29/20,06/30/20,07/01/20,07/02/20,07/03/20,07/04/20,07/05/20,07/06/20,07/07/20,07/08/20,07/09/20,07/10/20,07/11/20,07/12/20,07/13/20,07/14/20,07/15/20,07/16/20,07/17/20,07/18/20,07/19/20,07/20/20,07/21/20,07/22/20,07/23/20,07/24/20,07/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20,08/28/20,08/29/20,08/30/20,08/31/20,09/01/20,09/02/20,09/03/20,09/04/20,09/05/20,09/06/20,09/07/20,09/08/20,09/09/20,09/10/20,09/11/20,09/12/20,09/13/20,09/14/20,09/15/20,09/16/20,09/17/20,09/18/20,09/19/20,09/20/20,09/21/20,09/22/20,09/23/20,09/24/20,09/25/20,09/26/20,09/27/20,09/28/20,09/29/20,09/30/20,10/01/20,10/02/20,10/03/20,10/04/20,10/05/20,10/06/20,10/07/20,10/08/20,10/09/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20
AB,13,15,33,34,50,83,90,100,103,108,109,118,133,141,141,154,155,155,155,160,161,159,158,161,165,167,171,195,204,206,208,211,211,214,223,225,230,237,235,250,250,250,256,265,265,267,271,274,276,281,288,318,338,350,350,370,378,382,382,385,390,394,395,396,396,401,401,402,405,407,408,411,412,412,414,414,414,417,419,419,423,426,427,431,431,433,435,439,444,447,455,461,463,467,468,469,471,479,487,491,493,496,499,499,506,510,551,561,574,589,613,631,642,661,677,688,695,699,716,738,746,754,758,766,780,784,794,806,813,818,827,839,851,868,893,897,910,931,945,958,979,987,998,1009,1024,1033,1050,1070,1088,1097,1116,1130,1156,1169,1177,1186,1198,1210,1224,1252,1276,1305,1330,1347,1358,1375,1415,1439,1464,1486,1500,1522,1545,1588,1606,1649,1694,1703,1752,1785,1830,1884,1928,1962,2015,2042,2095,2212,2283,2389,2504,2578,2630,2731,2862,2988,3109,3262,3393,3453,3573,3743,3839,3935,3936,4163,4253,4318,4464
AR,110,128,150,157,161,161,162,179,229,249,270,280,312,339,360,391,402,410,423,421,439,471,495,508,522,541,550,565,574,576,606,614,619,625,655,664,675,678,679,680,679,688,691,691,696,696,696,697,697,695,695,695,697,696,696,696,696,697,697,697,698,698,698,698,698,698,698,698,698,700,701,703,703,703,705,705,704,704,704,704,704,704,706,706,706,706,706,706,706,706,706,707,707,707,707,707,708,709,712,713,714,719,726,732,743,756,773,786,788,801,836,851,865,891,920,930,969,990,1008,1045,1080,1104,1119,1142,1172,1191,1221,1245,1271,1280,1312,1353,1378,1400,1411,1444,1461,1479,1511,1536,1559,1598,1628,1632,1665,1706,1721,1756,1801,1813,1831,1854,1902,1927,1975,2009,2029,2034,2064,2103,2140,2172,2192,2210,2217,2237,2263,2304,2343,2373,2407,2412,2431,2474,2499,2538,2577,2610,2618,2651,2698,2737,2774,2823,2840,2852,2892,2972,3040,3091,3166,3208,3256,3305,3423,3504,3570,3661,3764,3789,3894,4026,4144,4258,4380,4487,4525,4692,4852
AG,12,14,25,27,31,33,32,52,51,57,57,59,62,67,73,74,90,96,98,110,114,117,118,124,131,134,134,140,143,143,154,156,160,161,164,163,167,173,179,181,188,190,193,199,210,214,219,223,226,229,232,235,236,238,245,253,253,257,260,263,265,267,272,275,279,284,286,287,303,306,320,334,355,365,375,394,415,432,438,465,510,510,566,642,704,715,744,770,793,844,872,919,946,989,1016,1030,1083,1138,1194,1284,1349,1390,1483,1570,1653,1758,1862,1960,2079,2176,2265,2371,2472,2580,2685,2814,2911,3009,3112,3224,3316,3416,3512,3607,3705,3804,3900,3991,4062,4102,4155,4232,4312,4380,4450,4508,4564,4599,4663,4721,4759,4792,4824,4843,4872,4903,4935,4962,4989,5006,5017,5038,5068,5082,5122,5136,5138,5156,5182,5207,5226,5248,5258,5263,5268,5286,5302,5337,5356,5368,5375,5386,5394,5418,5433,5447,5462,5487,5491,5507,5533,5545,5561,5564,5587,5601,5621,5666,5715,5749,5767,5789,5806,5835,5893,5927,5973,6016,6049,6095,6135,6179,6244,6337,6424,6481,6514,6579,6627
BC,24,27,38,39,47,51,56,58,65,69,76,76,81,94,107,102,105,113,117,150,134,136,143,161,172,180,191,226,249,250,266,272,330,349,348,353,360,371,384,388,394,414,418,427,431,445,453,453,465,478,486,490,491,494,498,502,502,506,506,507,511,511,513,515,518,542,545,546,549,550,554,559,562,566,573,575,579,587,587,590,591,598,599,605,608,613,623,632,634,640,650,655,664,671,677,686,692,698,717,744,746,757,775,791,809,821,848,868,920,947,955,1023,1075,1135,1181,1211,1258,1290,1335,1362,1427,1452,1503,1566,1623,1661,1716,1784,1815,1842,1860,1898,1935,1990,2043,2063,2077,2097,2134,2170,2249,2295,2353,2395,2424,2473,2557,2633,2691,2722,2740,2793,2839,2954,3007,3066,3171,3236,3250,3285,3367,3428,3465,3512,3533,3576,3618,3681,3740,3799,3819,3855,3911,3966,4048,4150,4225,4281,4320,4380,4449,4553,4721,4819,4926,4964,5048,5130,5280,5459,5549,5712,5811,5967,6052,6202,6355,6523,6603,6676,6777,6935,7067,7184,7292,7371,7473,7594,7727
BH,44,46,46,52,55,58,66,70,83,83,176,190,198,219,222,233,237,259,294,336,348,360,364,376,416,438,449,456,459,460,467,471,472,478,478,481,483,484,485,489,488,491,492,501,501,508,517,518,527,537,546,546,549,553,561,570,582,586,608,612,624,627,632,635,643,646,646,646,647,649,651,653,658,659,659,660,660,664,664,664,664,665,667,667,668,670,670,671,671,671,673,673,679,694,696,697,701,704,705,707,708,711,715,715,718,720,721,723,723,729,738,754,765,779,785,811,829,852,896,920,958,986,1036,1047,1106,1141,1194,1242,1294,1331,1384,1439,1505,1561,1619,1669,1700,1745,1799,1884,1951,1991,2022,2049,2086,2114,2185,2229,2290,2322,2351,2394,2437,2501,2543,2592,2651,2683,2718,2766,2814,2857,2912,2981,3006,3043,3097,3132,3179,3216,3243,3255,3296,3349,3393,3416,3444,3456,3483,3527,3595,3621,3671,3703,3733,3752,3800,3839,3904,3965,4011,4047,4088,4152,4248,4301,4407,4523,4590,4689,4771,4897,5024,5146,5280,5431,5533,5711,5927
BN,27,28,42,58,70,72,76,78,82,82,82,89,93,93,94,104,109,109,116,137,148,150,151,156,158,172,175,185,187,203,215,221,234,239,247,257,260,262,266,272,276,280,292,300,301,301,305,309,312,315,316,320,319,322,323,328,331,334,335,336,340,343,356,360,362,364,365,367,378,385,394,401,422,422,434,435,439,446,449,454,454,461,479,492,503,510,518,519,523,535,544,554,561,573,574,582,593,603,613,625,631,633,642,652,660,673,682,702,704,711,728,745,761,780,790,792,810,827,844,857,876,886,889,904,921,927,941,955,963,964,978,983,994,1003,1016,1020,1020,1033,1048,1059,1071,1079,1089,1089,1100,1110,1117,1128,1134,1141,1142,1161,1172,1189,1212,1226,1239,1239,1252,1262,1268,1287,1296,1315,1315,1325,1342,1358,1375,1383,1388,1389,1403,1416,1427,1443,1469,1479,1481,1500,1511,1524,1541,1560,1570,1570,1607,1635,1656,1676,1713,1734,1734,1768,1812,1845,1888,1924,1950,1950,2004,2054,2105,2156,2235,2297,2300,2372,2453
BT,44,48,68,84,86,88,106,119,155,156,156,172,231,290,310,308,308,308,314,338,393,407,410,414,431,442,446,456,456,458,483,517,534,545,560,577,568,586,593,622,632,640,646,655,659,664,676,691,694,697,704,710,715,726,733,739,744,750,758,772,781,789,796,812,818,826,833,835,851,858,871,884,890,899,908,921,941,949,954,956,960,974,979,989,995,995,1008,1011,1020,1023,1027,1033,1041,1045,1047,1050,1057,1060,1070,1070,1073,1076,1081,1084,1089,1091,1099,1102,1104,1108,1112,1117,1125,1131,1138,1144,1148,1159,1166,1169,1171,1180,1182,1187,1188,1192,1195,1199,1203,1204,1211,1213,1221,1227,1229,1237,1239,1245,1250,1257,1261,1269,1275,1283,1289,1301,1307,1312,1318,1322,1329,1339,1351,1356,1365,1368,1379,1379,1386,1396,1398,1418,1428,1430,1430,1456,1472,1483,1492,1510,1511,1539,1544,1552,1588,1604,1618,1631,1637,1653,1671,1684,1708,1720,1734,1752,1765,1796,1835,1881,1923,1947,1979,2012,2051,2100,2156,2203,2290,2326,2377,2432,2492,2547,2674,2720,2762,2820,2941
BV,124,127,131,138,156,161,175,190,219,238,253,263,270,286,299,308,315,340,345,348,373,382,386,396,416,422,429,457,470,473,489,492,504,519,532,539,557,574,577,578,594,597,604,613,616,627,630,646,662,670,677,685,685,697,707,723,736,743,750,752,756,762,794,806,826,837,855,890,923,941,958,977,1022,1029,1051,1085,1121,1148,1158,1215,1227,1245,1277,1319,1351,1395,1409,1437,1484,1497,1553,1615,1651,1694,1698,1743,1796,1851,1905,1950,1997,2014,2076,2130,2184,2229,2296,2328,2381,2424,2472,2585,2643,2673,2703,2811,2884,2933,2993,3064,3116,3197,3227,3322,3413,3468,3547,3579,3639,3683,3710,3752,3810,3848,3881,3932,3964,4003,4029,4099,4144,4184,4223,4256,4299,4334,4392,4459,4519,4552,4564,4603,4663,4697,4772,4804,4850,4856,4900,4956,5006,5056,5109,5151,5175,5217,5252,5312,5368,5419,5502,5525,5563,5660,5721,5784,5837,5889,5972,6030,6061,6122,6200,6277,6369,6411,6459,6554,6634,6684,6840,6933,6970,7059,7165,7295,7411,7526,7773,7912,7969,8096,8233,8466,8580,8677,8731,8921,9106
BR,13,11,11,11,12,14,16,16,16,16,16,16,16,16,16,16,18,18,18,19,19,20,20,20,22,22,22,23,23,23,25,25,25,24,18,19,19,19,19,19,19,19,19,20,20,20,19,19,19,19,22,25,25,25,27,27,27,28,28,28,32,41,42,43,43,43,43,43,47,51,56,56,88,92,93,93,98,108,112,122,128,130,131,154,161,165,190,201,218,219,226,235,238,243,251,253,253,271,275,287,298,303,317,330,336,356,376,392,401,421,464,492,544,596,636,666,729,762,809,831,872,893,910,943,962,991,1005,1033,1070,1093,1128,1149,1171,1197,1213,1227,1272,1295,1330,1355,1371,1385,1414,1438,1455,1483,1544,1599,1636,1693,1702,1722,1747,1771,1798,1820,1873,1888,1903,1933,1955,1982,2021,2039,2063,2074,2097,2122,2155,2173,2194,2202,2220,2242,2262,2290,2326,2340,2352,2362,2394,2405,2433,2446,2477,2500,2520,2574,2591,2628,2673,2673,2735,2766,2801,2851,2882,2933,2979,3007,3032,3062,3099,3125,3155,3180,3204,3235,3264
BZ,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,18,14,14,15,16,17,20,20,20,20,20,21,41,43,48,54,61,63,65,66,83,95,97,97,104,105,122,141,148,151,153,158,158,160,164,181,188,188,191,196,198,198,201,202,204,211,216,223,225,233,234,253,276,308,326,336,343,351,369,397,405,426,433,443,467,479,494,522,533,565,583,613,627,630,635,644,651,684,727,750,772,794,824,842,859,883,912,941,967,992,1018,1041,1066,1099,1125,1156,1182,1223,1248,1284,1308,1333,1364,1376,1391,1426,1465,1493,1530,1556,1581,1620,1639,1687,1717,1763,1810,1831,1870,1900,1964,2011,2035,2051,2077,2097,2121,2154,2177,2219,2234,2246,2286,2314,2333,2354,2375,2377,2449,2472,2492,2505,2520,2542,2555,2562,2574,2584,2593,2609,2624,2641,2650,2665,2683,2695,2713,2724,2733,2745,2756,2774,2800,2823,2841,2862,2874,2896,2940,2968,2996,3029,3047,3063,3091,3115,3156,3187,3242,3282,3305,3334,3403,3446,3496,3546,3592,3621,3670,3726
